t_ms,N_NILT,scalpel_float64,mpmath_50digit,rel_err
1.0,2048,1.0768555957987937e-05,4.045096620180682e-08,265.212577080716
2.5,2048,3.0054984227886583e-05,1.914703342430739e-05,0.569694038854678
5.0,2048,0.00042075284804523,0.0004095364009832323,0.027388156547424797
10.0,2048,0.0035402282724706444,0.003528409137608444,0.003349706454453738
15.0,2048,0.009171874531646395,0.009159471062404898,0.0013541687240442926
20.0,2048,0.016209424940426074,0.016196454640796297,0.0008008110365775213
1.0,4096,1.0759144455006059e-05,4.045096620180682e-08,264.97991260158034
2.5,4096,3.0054984227886583e-05,1.914703342430739e-05,0.569694038854678
5.0,4096,0.00042075284804523,0.0004095364009832323,0.027388156547424797
10.0,4096,0.0035402282724706444,0.003528409137608444,0.003349706454453738
15.0,4096,0.009171874531646395,0.009159471062404898,0.0013541687240442926
20.0,4096,0.016209424940426074,0.016196454640796297,0.0008008110365775213
